Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
109,Govindpuri,20,Govind Puri,17,AI Match (95%)
110,Kalka,20,Kalkaji,12,Sub-Ward Match
111,Kashmere Gate,20,ISBT Kashmere Gate,153,Alias Match
112,Mahrauli,20,Mehrauli,23,AI Match (87%)
113,Greater Kailash 2,20,Greater Kailash II,15,Alias Match
114,Nehru Place Terminal,20,Nehru Place,13,Alias Match
115,Nehru Palace,20,Nehru Place,13,AI Match (95%)
116,Vivek Vihar,20,Vivek Vihar,127,Exact Ward Match
117,Tughlaqabad Fort,20,Tughlakabad Extn,280,AI Match (75%)
118,Qutab Minar,20,Mehrauli (Qutub Minar),278,AI Match (90%)
119,City Forest,20,Nill,-,Unmatched
120,Lajpat Nagar Market,19,Lajpat Nagar,6,Alias Match
121,Munirka,19,Munirka,269,Alias Match
122,Govind Puri,19,Govind Puri,17,Exact Ward Match
123,Cyber City Gurugram,19,Cyber City Gurugram,Outside,Outside Delhi
124,Lajpatnager,18,Lajpat Nagar,3,AI Match (86%)
125,Basant Vihar,18,Vasant Vihar,269,AI Match (91%)
126,Mulchand,18,Nill,-,Unmatched
127,Rajouri Garden,18,Rajouri Garden,185,Exact Ward Match
128,Chirag Delhi Metro Station,18,Chirag Delhi,11,Alias Match
129,Inderpuri Krishi,18,Nill,-,Unmatched
130,Madan Gir,18,Nill,-,Unmatched
131,Airport,17,Nill,-,Unmatched
132,Lajpat,17,Lajpat Nagar,6,Alias Match
133,Maharani Bagh,17,Maharani Bagh,14,Alias Match
134,Shahdara,17,Shahdara,232,Alias Match
135,Khanpur Gao,17,Khanpur,26,Alias Match
136,Krishna Nagar,17,Krishna  Nagar,154,Exact Ward Match
137,Kalkaji Mandir,17,Kalkaji,13,Alias Match
138,South X,17,South Extension,12,AI Match (93%)
139,Okhla Phase 1,17,Okhla Industrial Area Phase I,287,Alias Match
140,Saomi Nagar,17,Jamia Nagar,273,AI Match (81%)
141,Neharu Place,16,Nehru Place,13,AI Match (95%)
142,Sant Nagar,16,Sant Nagar (East of Kailash),10,Alias Match
143,Tuglakabad,16,Tughlakabad,281,AI Match (95%)
144,Mahrauli Terminal,16,Nill,-,Unmatched
145,Aya Nagar Terminal,16,Aya Nagar,282,Alias Match
146,South Ex,16,South Extension,12,Alias Match
147,Chirag Dhali,16,Chirag Delhi,14,AI Match (83%)
148,Bhondsi,16,Nill,-,Unmatched
149,Harsh Vihar,15,Harsh Vihar,68,Exact Ward Match
150,Okhla Vihar,15,Okhla Vihar,273,Alias Match
151,Khanpur Village,15,Khanpur Village,26,Alias Match
152,New Delhi Railway Station Gate 2,15,New Delhi Railway Station,182,Alias Match
153,Chatarpur,15,Chhatarpur,290,AI Match (94%)
154,Kalika Ji Mandir,15,Nill,-,Unmatched
155,Tughalkabad,15,Tughlakabad,281,AI Match (90%)
156,Talimabad,15,Nill,-,Unmatched
157,Connaught Place,14,Connaught Place,211,Alias Match
158,Krishi Vihar,14,Shiv Vihar,48,AI Match (81%)
159,R K Puram,14,R.K. Puram,216,Alias Match
160,Iit,14,IIT Delhi,8,Alias Match
161,Huaz Khas,14,Hauz Khas,8,AI Match (88%)
162,Central Market,14,Nill,-,Unmatched
163,Lajpatnagar,14,Lajpat Nagar,3,AI Match (95%)
164,Vinod Puri,14,Govind Puri,17,AI Match (85%)
165,Aims,13,AIIMS (Ansari Nagar),218,AI Match (88%)
166,Gurgaon,13,Gurgaon,Outside,Outside Delhi
167,Igi Airport,13,Nill,-,Unmatched
168,Mool Chand,13,Nill,-,Unmatched
169,Sadiq Nagar,13,Sadh Nagar,248,AI Match (85%)
170,Palam Vihar,13,Palam,255,Sub-Ward Match
171,Sukhdev Vihar,13,Sukhdev Vihar,14,Alias Match
172,Sarai Kale Ka,13,Nill,-,Unmatched
173,Khanpur Market,13,Khanpur,26,Alias Match
174,Saket Court,13,Saket,16,Alias Match
175,Rangpuri,13,Mangolpuri,92,AI Match (77%)
176,Gupta Market,13,Nill,-,Unmatched
177,Rama Krishna Puram,13,R.K. Puram,216,AI Match (76%)
178,Mehroli,13,Mehrauli,23,AI Match (80%)
179,Chirag Dilli,13,Chirag Delhi,14,AI Match (83%)
180,Okhla Phase 2,12,Okhla Industrial Area Phase II,287,Alias Match
181,Aya Nagar,12,Aya Nagar,282,Alias Match
182,Mori Gate,12,Mori Gate,153,Alias Match
183,Basant Kunj,12,Vasant Kunj,274,AI Match (90%)
184,Gandhi Nagar,12,Gandhi Nagar,149,Exact Ward Match
185,Ito,12,Nill,-,Unmatched
186,Mathura,12,Nill,-,Unmatched
187,Greater Kailash Phase 1,12,Greater Kailash,9,Alias Match
188,Sabdarjan Hospital,11,Safdarjung Hospital,218,AI Match (86%)
189,Nehru Enclave,11,Nehru Enclave,15,Alias Match
190,Sabdarjan,11,Nill,-,Unmatched
191,Sangam Vihar Delhi,11,Sangam Vihar,292,Alias Match
192,Sundar Nagar,11,Sunder Nagar,212,AI Match (91%)
193,Greater Kailash 1,11,Greater Kailash I,9,Alias Match
194,Rk Puram Sec 1,11,R.K. Puram,216,Alias Match
195,Lajapat Nagar,11,Lajpat Nagar,3,AI Match (96%)
196,Old Delhi Railway Station,11,Old Delhi Railway Station,153,Alias Match
197,Paharganj,11,Paharganj,182,Alias Match
198,Jor Bagh,11,Jor Bagh,212,Alias Match
199,Saket Metro Station,11,Saket,16,Alias Match
200,Mori Gate Terminal,11,Mori Gate,153,Alias Match
201,Vikram Vihar,11,Vikram Vihar (Lajpat Nagar),6,Alias Match
202,Sonaya Vihar,11,Sonia Vihar,46,AI Match (86%)
203,Indira Gandhi Airport,11,Nill,-,Unmatched
204,Lado Sarai Firni,11,Nill,-,Unmatched
205,Shaket,11,Saket,16,AI Match (90%)
206,Haus Khas,11,Hauz Khas,8,AI Match (88%)
207,Saini Farm,11,Nill,-,Unmatched
208,Hriyana,11,Nill,-,Unmatched
209,New Delhi,10,New Delhi Railway Station,182,AI Match (100%)
210,Chanakyapuri,10,Chanakyapuri,217,Alias Match
211,Pragati Maidan,10,Nill,-,Unmatched
212,Lodhi Colony,10,Lodhi Colony,212,Alias Match
